id,grammar,english,japanese
1,現在分詞修飾,The sleeping cat is cute.,眠っている(その)猫はかわいい。
2,現在分詞修飾,Who is the boy speaking English?,英語を話しているその男の子は誰ですか？
3,現在分詞修飾,The woman playing the piano was his aunt.,ピアノを弾いている女性は彼のおばさんでした。
4,過去分詞修飾,Look at that broken glass.,あの割れたグラスを見なさい。
5,過去分詞修飾,He wants to buy a car made in Japan.,彼は日本製の車を買いたがっています。
6,過去分詞修飾,English is a language spoken around the world.,英語は世界中で話される言語です。
7,関係代名詞・主格＜人＞,Can you see the students who (that) are running in the park?,公園で走っている生徒たちが見えますか？
8,関係代名詞・主格＜人＞,Do you remember the teacher who (that) spoke to us yesterday?,君は昨日僕たちに話しかけた先生を覚えているかい？
9,関係代名詞・主格＜人＞,The woman who (that) is studying hard will soon be able to speak English.,一生懸命勉強しているその女性はすぐに英語が話せるようになるでしょう。
10,関係代名詞・主格＜人以外＞,Is this a train which (that) leaves at six o’clock?,これは6時に出発する電車ですか？
11,関係代名詞・主格＜人以外＞,What is the building which (that) stands near the park?,公園のそばに建っている建物は何ですか？
12,関係代名詞・主格＜人以外＞,They played on the hill which (that) was covered with flowers.,彼女たちは花でおおわれた丘で遊んだ。
13,関係代名詞・所有格whose とof which,The man whose bike broke down went to work by bus.,自転車が壊れてしまったその男性は、バスで仕事に行った。
14,関係代名詞・所有格whose とof which,"At the library, I found a book the cover of which was interesting (funny).",私は図書館で面白い表紙の本を見つけた。
15,関係代名詞・所有格whose とof which,The house the garden of which is large is my aunt’s.,その庭が広い家は私のおばさんのものです。
16,関係代名詞・目的格＜人＞,That is the singer (whom / that) he respects.,あの人が、彼が尊敬している歌手です。
17,関係代名詞・目的格＜人＞,The man (whom / that) we met yesterday is a famous actor.,私たちが昨日会った男性は有名な俳優です。
18,関係代名詞・目的格＜人＞,She is a writer (whom / that) everybody knows.,彼女は誰もが知ってる作家です。
19,関係代名詞・目的格＜人以外＞,That is a picture (which / that) she painted(draw).,あれは彼女が描いた絵です。
20,関係代名詞・目的格＜人以外＞,The cheesecake (which / that) she baked yesterday was delicious.,昨日彼女が焼いたチーズケーキはおいしかった。
21,関係代名詞・目的格＜人以外＞,What is the language (which / that) he has been studying for three years?,彼が3年間勉強している言語は何ですか？
22,先行詞を含む関係代名詞what,I could not understand what my father said.,私は父の言ったことが理解できなかった。
23,先行詞を含む関係代名詞what,What the government did was right.,政府がしたことは正しかった。
24,先行詞を含む関係代名詞what,What your girlfriend wants you to do is (to) write to them more often.,君の彼女が君にして欲しいことは、もっと頻繁に手紙を書くことだよ。
25,関係代名詞where,That is the hospital where he was born.,あれは彼が生まれた病院です。
26,関係代名詞where,This is the place where I wrote the letter.,ここが、私がその手紙を描いた場所です。
27,関係代名詞where,We want to go to a store where we can buy something to drink.,僕たちは何か飲み物を買える店に行きたい。
28,関係副詞when,January is the month when it snows a lot.,1月は雪がたくさん降る月です。
29,関係副詞when,Will you please tell me the time when the teacher will come here?,先生がここにやってくる時間を教えてくれますか？
30,関係副詞when,Does he know the time when the plane will arrive?,彼は飛行機が到着する時間を知っていますか？
31,原形不定詞・知覚,I heard him say something.,私は彼が何か言うのを聞きました。
32,原形不定詞・知覚,Did you feel the building shake?,あなたは建物が揺れるのを感じましたか？
33,原形不定詞・知覚,She noticed him leave the room.,彼女は彼が部屋を出る(去る)のに気づいた。
34,原形不定詞・使役,The teacher made the students study Germany every day.,先生は生徒たちに毎日ドイツ語を勉強させた。
35,原形不定詞・使役,My father had my mother bring a glass of water.,父は母に水を一杯持ってきてもらった(持ってこさせた)。
36,原形不定詞・使役,Are you going to let your child go abroad alone?,あなたはお子さんを一人で外国に行かせてあげるつもりですか。
