id,grammar,english,japanese
1,初級編,Who cooked this? – My father (dad) did.,誰がこれを料理したの？－お父さんだよ。
2,初級編,My mom (mother) may (might) be angry.,お母さんは怒っているかもしれない。
3,初級編,"Do I have to read this report? – Yes, you do. / Must I read this report? – Yes, you must.",私はこの報告書を読まなければいけませんか？－そうです。
4,初級編,Please show us the menu. / Please show the menu to us.,私たちにメニューを見せてください。
5,初級編,Run as fast as you can. / Run as fast as possible.,できるだけ速く走りなさい。
6,初級編,Are most junior high school students taught English in France?,フランスでは、ほとんどの中学生は英語を教わりますか？
7,初級編,At last (Finally) she got angry.,とうとう、彼女は怒った。
8,初級編,"Wasn’t he in his room? – No, he wasn’t.",彼は自分の部屋にいなかったですか？
9,初級編,How tall those boys are!,あの少年たちはなんて背が高いのでしょう！
10,初級編,"Walk faster, or you will miss the bus.",もっと速く歩きなさい、さもなければバスに乗り遅れますよ。
11,初級編,Hana is the smartest in the class.,ハナはクラスの中で一番頭がいい。
12,初級編,She believed that her uncle was rich.,彼女は自分の叔父がお金持ちだと信じていた。
13,初級編,I don’t know how old my boss is.,私は上司が何歳なのか知らない。
14,初級編,They have been married for twenty years.,彼らは結婚20年です。
15,初級編,Do you have anything to eat with?,何か食べ物を持っていますか？
16,初級編,What time was it when he came home?,彼が家に帰ってきた時、何時でしたか？
17,初級編,He is rich enough to travel every year.,彼は毎年旅行に行くほど（行くのに十分に）お金持ちだ。
18,初級編,The student has been studying mathematics since he (she) got up.,その生徒は起きてからずっと数学の勉強をしている。
19,初級編,Do you think that it will be sunny in the afternoon?,午後晴れると思いますか？
20,初級編,What is butter made from?,バターは何で作られますか？
21,初級編,"You are hungry, aren’t you?",あなたはおなかがすいていますね？
22,初級編,The hill is covered with flowers.,その丘は花で覆われている。
23,初級編,He had his co-worker (colleague) make some coffee.,彼は同僚にコーヒーをいれてもらった。
24,初級編,The teacher always tells me to be more careful.,先生はいつも私にもっと注意深くなるように言います。
25,初級編,"Do you know where to buy the textbook? ー No, I don’t.",あなたはどこでその教科書を買えばいいか知っていますか？―いいえ、知りません。
26,初級編,The shirt was too big for her to wear.,そのシャツは彼女が着るには大きすぎた。
27,初級編,The painter went to Italy to see the pictures.,その画家は、その絵を見るためにイタリアに行った。
28,初級編,I wonder why she is so sad.,彼女はなぜあんなに悲しんでいるんだろう。(wonder)
29,初級編,She will soon decide to buy it.,彼女はまもなくそのワンピースを買うことを決めるでしょう。
30,初級編,I have already written more than two hundred sentences.,僕はもう200文以上書きました。
31,初級編,"Is that car yours, or your brother’s? – It is mine.",あの車は君のなの、それとも君のお兄さんのなの？－僕のだよ。
32,初級編,This cake tastes good.,このケーキはおいしい。(taste)
33,初級編,You must (have to) be quiet in the hospital.,病院では静かにしなくてはいけません。
34,初級編,They didn’t have anything to do last night. / They had nothing to do last night.,昨晩、彼らにはすることが何も無かった。
35,初級編,She jogs every day to keep slim.,彼女はスリムでいるために毎日ジョギングをしている。
36,初級編,Did he speak English as well as the teacher did? / Did he speak English as well as the teacher?,彼は先生と同じくらい上手に英語を話したのですか？
37,初級編,He and his wife have lived in this village for thirty years.,彼と彼の妻は、30年間この村に住んでいる。
38,初級編,She found the music very exciting.,彼女はその音楽がとてもワクワクするようなものだと思った。(find)
39,初級編,"As (Since) she became sleepy, she turned off the light.",眠くなったので、彼女は電気を消した。
40,初級編,Shall we dance here?,ここで踊りましょうか。
41,初級編,"The professor looks very young, doesn’t he (she)?",教授はとても若く見えますよね？
42,初級編,"Wasn’t the book written by a famous writer? – No, it wasn’t.",あの本は有名な作家に書かれたのではないのですか？－はい、違います。
43,初級編,How thick this magazine is!,この雑誌はなんて分厚いんだろう！
44,初級編,The exam must be easy.,その試験はやさしいに違いない。
45,初級編,The pizza cooked (made) by her was delicious.,彼女が作ったピザはとてもおいしかった。(分詞)
46,初級編,How many mistakes did he make?,彼はいくつミスしましたか？
47,初級編,I got up at ten o’clock this morning.,私は今朝10時に起きた。
48,初級編,She has been swimming for thirty minutes.,彼女は30分間泳ぎ続けています。
49,初級編,"Are there any textbooks in his room? – No, there aren’t.",彼の部屋には教科書がありますか？－いえ、ありません。
50,初級編,It is necessary for you to buy a large bag.,あなたはを大きいカバンを買う必要があります。(形式主語のir)
51,初級編,"Study regularly, and you will be able to pass the exam.",定期的に勉強しなさい。そうすれば試験に受かりますよ。
52,初級編,He told his children not to go there alone.,彼は子供たちに1人でそこに行かないよう言った。
53,初級編,He doesn’t like going out.,彼は外出するのが好きではない。
54,初級編,"Didn’t you help your manager yesterday? – No, I didn’t.",あなたは昨日マネージャーを手伝わなかったのですか？-はい、手伝いませんでした。
55,初級編,I saw the anime for the first time when I was eighteen (years old).,僕は18歳の時にそのアニメを初めて見た。
56,初級編,They spent a month in the country.,彼らはその国で1カ月過ごした。
57,初級編,Why did you choose him?,あなたはなぜ彼を選んだの？
58,初級編,I studied for only ten minutes yesterday.,私は昨日、10分だけ勉強した。
59,初級編,Children could not keep (stay) awake last night.,子供たちは昨晩起きていられなかった。
60,初級編,This restaurant is open from eleven to nine.,このレストランは、11時から9時まで開いている。
61,初級編,I am happy to hear of her success. (Her success made me happy.),私は彼女の成功について聞けて嬉しい。
62,初級編,Is it difficult for him to answer the question?,彼にとって、その質問に答えることは難しいでしょうか？(形式主語)
63,初級編,"Hurry up, and you can catch the bus.",急ぎなさい、そうすればバスに乗れる。
64,初級編,The students in the school must (have to) have a test every week.,その学校の生徒たちは毎週テストを受けなければならない。
65,初級編,Did you help your brother with his homework the day before yesterday?,あなたはおととい、弟の宿題を手伝いましたか？
66,初級編,"If she goes there, I will go, too.",もし彼女がそこに行くなら僕も行こう。
67,初級編,This temple is much older than that shrine.,このお寺はあの神社よりずっと古い。
68,初級編,Who takes care of this cat?,誰がこの猫を世話しますか？
69,初級編,Did you hear her sing (singing) something?,君は彼女が何か歌っているのを聞いたかい？
70,初級編,She studies (the) hardest of us all.,私たちみんなの中で、彼女が一番一生懸命勉強します。
71,初級編,The milk has turned sour.,牛乳が酸っぱくなってしまった。
72,初級編,She may (might) be American.,彼女はアメリカ人かもしれない。
73,初級編,The soup was too hot for the baby to eat. / The soup was so hot that the baby couldn’t eat it.,そのスープは熱すぎて、赤ちゃんには飲めなかった。
74,初級編,He has been working since six o’clock in the morning.,彼は朝6時からずっと働いている。
