id,grammar,english,japanese
1,上級編,"Let’s go to the library where we went yesterday. ー Yes, let’s.",昨日行った図書館に行こうよ。―うん、行こう。
2,上級編,You will be able to know the story when she comes back.,彼女が帰ってきたら（帰ってきたとき）、君はその話を知ることができるだろう。
3,上級編,What is the subject (Which/that) your mother liked (the) best when she was a student? ー It is geography.,あなたのお母さんが学生時代に1番好きだった科目はなんですか？ー地理です。
4,上級編,"Can (May)I let her read the book when it arrives? – Yes, you can (may).",その本が届いたら（届くとき）、彼女に読ませてもいいですか？
5,上級編,The book (which/that) her father wrote will be read in many countries.,彼女のお父さんが書いた本は多くの国で読まれているだろう。
6,上級編,The clock (which/that) you saw has been at my home since I was a child.,君が見た時計は、僕が子供の頃から我が家にいます。
7,上級編,How pretty the baby (whom/that) I met at the park was!,公園であった赤ちゃんはなんてかわいかったんだろう！
8,上級編,I wonder what she wanted me to do.,彼女は僕に何をして欲しかったんだろう。(wonderを使って)
9,上級編,Who came to the office while I was away (out)?,僕の留守中に、誰かオフィスに来ましたか？
10,上級編,"Have you watched the movie (which/that) I lent (to) you last week yet? ー No, I haven’t.",私があなたに先週貸した映画をもう見ましたか？ーいえ、まだです。
11,上級編,"As he was hungry, he asked his mother to make lunch.",お腹がすいていたので、彼はお母さんに昼食を作るように頼んだ。
12,上級編,There was a beautiful castle in the town where she was born.,彼女の生まれた町には綺麗なお城があった。
13,上級編,The man (whom/that) I met yesterday was much taller than him [he is].,私がきのう会った男の人は彼よりずっと背が高かった。
14,上級編,"As there were many people (whom/that) she knew in the room, she kept smiling.",部屋の中には彼女の知っている人がたくさんいたので、彼女は笑い続けていました。
15,上級編,How many pieces of bread did the man (who/that) you saw at the restaurant eat?,あなたがそのレストランで見た男の人は、パンをいくつ食べたのですか？
16,上級編,"You don’t understand why she is loved by many people, do you?",あなたは、彼女がなぜ多くの人に愛されているのか、わからないのですね？
17,上級編,The student who came from Canada to make friends has been studying Japanese at this school since I first met him.,友達を作るためにカナダから来たその学生は、私が彼に初めて会った時からずっとこの学校で日本語を勉強している。
18,上級編,She wanted her boyfriend to notice (that) she had had [got] a hair cut.,彼女は恋人に自分が髪を切ったことを気づいて欲しかった。
19,上級編,He told his wife not to let their son sleep on the couch.,彼は妻に、息子をソファーで寝かせるなと言った。
20,上級編,Will the children who grew up in a city be surprised to see mountains?,都会で育ったその子供たちは山を見て驚くだろうか？
21,上級編,The language which [that] George is studying now is not spoken by very many people.,ジョージが今勉強している言語はあまり多くの人に話されていない。
22,上級編,The musician whose name is known to everyone will come to this town next month to hold a concert.,その名がみんなに知られている音楽家がコンサートを開くため来月この町に来る。
23,上級編,"Have you ever been to a house which [that] is made of brick? / Have you ever been to a house made of brick? – Yes, I have.",あなたはレンガでできた家に行ったことありますか？ーはい、あります。
24,上級編,"Although I wanted her to draw a picture, he made his sister do it.",僕は彼女に絵を描いて欲しかったのだが、彼は妹にそれをやらせた。
25,上級編,I want you to tell me why John is in a good mood [humor].,僕は君にジョンがなぜ機嫌がいいのか教えて欲しい。
26,上級編,"When I saw her this morning, she said that she was going to climb a mountain.",今朝彼女に会ったとき、彼女は山に登りに行くところだ、と言いました。
27,上級編,The rain made us give up going out.,雨のため我々は外出するのを諦めなければならなかった。
