id,grammar,english,japanese
1,過去形,I was tired last week.,先週私は疲れていました。
2,過去形,We visited Toronto last year.,私たちは去年トロントを訪れました。
3,過去形,Where was he an hour ago? – He was in his room.,一時間前、彼はどこにいたの？―自分(彼)の部屋にいたよ。
4,過去進行形,She was playing the guitar then.,彼女はその時ギターを弾いていました。
5,過去進行形,The students were not listening to the teacher then.,その時生徒たちは先生の言うことを聴いていなかった。
6,過去進行形,Why was your girlfriend crying?,あなたの彼女はなぜ泣いていたのですか？
7,when節,"When summer comes, a lot of people go to Lake Ontario.",夏が来るとたくさんの人がオンタリオ湖に行きます。
8,when節,I was doing my homework when my mother came home.,お母さんが家に帰ってきた時、私は宿題をしていました。
9,when節,What was your sister doing when you came back home from school?,あなたが学校から帰った時、あなたのお姉さんは何をしていましたか？
10,一般動詞のSVC,He looks (appears) very sad.,彼はとても悲しそうだ（悲しそうに見える）。
11,一般動詞のSVC,My grandmother’s (grandma’s) hair is turning gray.,おばあちゃんの髪は白髪になってきています。
12,一般動詞のSVC,What did the boy become when he grew up?,その男の子は成長して、何になりましたか？
13,SVO + to (for),He showed a picture to us.,彼は一枚の写真を私たちに見せた。
14,SVO + to (for),Did someone lend a bicycle to you?,誰かがあなたに自転車を貸してくれたんですか？
15,SVO + to (for),How much money did you give to the man?,あなたはその男にお金をいくらあげたのですか？
16,SVOO,My (older) brother gave me a present.,兄が僕にプレゼントをくれた。
17,SVOO,My mother made my friends some cookies.,お母さん僕の友達にクッキーを作ってくれた。
18,SVOO,Does your father teach you English?,あなたのお父さんがあなたに英語を教えてくれるのですか？
19,単純未来のwill,I will be twenty nine years old in July.,私は7月に29歳になります。
20,単純未来のwill,Will it be rainy the day after tomorrow? Will it rain ～でもOK！,明後日は雨が降るでしょうか？
21,単純未来のwill,When will they come to Canada? – They will come next year.,彼女たちはいつカナダに来るのでしょうか？ー来年来るでしょう。
22,意志未来のwill,I will do my best.,私はベストを尽くします！
23,意志未来のwill,I will not (won’t) see her again.,私はもう二度と彼女には会いません。
24,意志未来のwill,I will finish this task (assignment) today.,今日この課題を終わらせるぞ。
25,依頼のwill とshall （申し出・誘い）,Will you please help me? – Sure.,私を手伝ってくれますか？－もちろん。
26,依頼のwill とshall （申し出・誘い）,Will you have some more coffee?,もう少しコーヒーはいかがですか？
27,依頼のwill とshall （申し出・誘い）,"Shall we play basketball in the park? – No, let’s not.",公園でバスケをしましょうよ？－いや、やめとこう。
31,be going to,I am going to meet him in front of the station tonight.,私は今夜駅前で彼と会う予定です。
32,be going to,When are you going to leave Vancouver? – I’m going to leave tomorrow.,あなたはいつバンクーバーを出発する予定ですか？－明日発つ予定です。
33,be going to,I’m going to travel around North America during the summer vacation.,夏休みは北米を旅してまわる予定です。
34,must/may,You must do your homework by tomorrow.,あなたは宿題を明日までにしなければいけません。
35,must/may,A child must not go to the forest alone.,子供はその森に一人で行ってはなりません。
36,must/may,"May I look at this diary? – No, you may not.",この日記を見てもいいですか？－いいえ、いけません。
37,have to,Students all have to wear uniforms in this school.,この学校では学生たちはみんな制服を着なくてはならない。
38,have to,She didn’t have to wash the dishes.,彼女はお皿を洗う必要はありませんでした。
39,have to,What did you have to do? – She had to practice the piano.,あなたは何をしなければならなかったのですか？―ピアノを練習しなければなりませんでした。
40,be able to,You will be able to learn many things in Toronto.,トロントであなたは多くのことを学べるでしょう。
41,be able to,Who was able to catch the dog?,誰がその犬を捕まえられましたか？
42,be able to,"Was he able to speak with the teacher in English? – Yes, he was.",彼は先生と英語で話すことができましたか？－はい、できました。
43,感嘆文,How kind you are!,あなたはなんて親切なんだろう！
44,感嘆文,How hard she studies!,彼女はなんて一生懸命勉強するんだろう！
45,感嘆文,What an interesting movie it was!,なんておもしろい映画だったろう！
46,不定詞―名詞的用法,I want to go to Canada some day.,僕はいつかカナダに行きたい。
47,不定詞―名詞的用法,Her hobby is to watch baseball.,彼女の趣味は野球を観ることです。
48,不定詞―名詞的用法,To be with him is a lot of fun.,彼といることはとても楽しいです。
49,不定詞―副詞的用法（目的）,I went to a book store to buy some books.,私は本を何冊か買いに本屋さんに行った。
50,不定詞―副詞的用法（目的）,I am going to get up early tomorrow morning to run (jog).,私はランニングするために明日の朝早く起きるつもりです。
51,不定詞―副詞的用法（目的）,My (younger/little) brother has to study for many hours every day to pass the exam.,弟は試験に受かるために毎日何時間も勉強しなければならない。
52,不定詞―副詞的用法（感情の原因）,I am happy (glad) to meet you.,あなたに会えてうれしいです。
53,不定詞―副詞的用法（感情の原因）,We were surprised to hear her story.,彼女の話を聞いて私たちはとても驚いた。
54,不定詞―副詞的用法（感情の原因）,Your parents will be pleased to receive your present.,あなたのご両親はあなたのプレゼントを受け取って喜ぶでしょう。
55,不定詞―形容詞的用法,I have my homework to do today.,私には今日しなければならない(するべき)宿題があります。
56,不定詞―形容詞的用法,Did the baby want something to eat?,その赤ちゃんは何か食べるものが欲しかったのですか？
57,不定詞―形容詞的用法,I don’t have anything to do today. または　I have nothing to do today.,私は今日何もすることがない。
58,動名詞,Will he stop (give up) smoking?,彼はたばこを吸うのをやめますか。
59,動名詞,She is good at speaking Chinese.,彼女は中国語を話すのが得意です。
60,動名詞,What (musical) instrument do you like playing?,あなたはどんな楽器を弾くのが好きですか？
61,as-as 原級比較,This temple is as old as that temple (one).,このお寺はあのお寺と同じくらい古い。
62,as-as 原級比較,Are these cherries as sweet as those cherries (ones)?,これらのさくらんぼはあれらと同じくらい甘いですか？
63,as-as 原級比較,He can’t speak Japanese as well as you do.,彼は君ほど上手には日本語を話せない。
64,比較級 -er形,Alex is taller than me (I).,アレックスは僕より背が高い。
65,比較級 -er形,It will be much colder tomorrow than today.,明日は今日よりずっと寒くなるでしょう。
66,比較級 -er形,His baggage looked heavier than mine.,彼の荷物は僕のより重そうに見えた。
67,最上級 -est形,This dog is the smallest of the five.,この犬が5匹の中で一番小さい。
68,最上級 -est形,Who is the tallest in your family?,あなたの家族の中で誰が一番背が高いですか？
69,最上級 -est形,This is the best way of all.,これがすべての中で一番いい方法です。
70,比較級 more,Is Chinese more useful than English?,中国語は英語より役に立ちますか？
71,比較級 more,Time is more important than money.,時間はお金より大切です。
72,比較級 more,This country is more dangerous than your country (yours).,この国は君の国より危険だ。
73,最上級 most,He is one of the most famous writers in the world.,彼は世界で最も有名な作家の一人です。
74,最上級 most,That black car is the most expensive of these ten cars.,この10台の車の中であの黒い車が一番高い。
75,最上級 most,The smallest orange was the most delicious.,一番小さなオレンジが一番おいしかった。
76,比較級―副詞,My brother can run faster than me.,弟は僕より速く走れます。
77,比較級―副詞,Kumi got to (arrived at) the station earlier than his friends.,クミは友人たちより早く駅に着いた。
78,比較級―副詞,Does she speak Japanese more fluently than you do?,彼女はあなたより流暢に日本語を話しますか？
79,最上級―副詞,Bob walked (the) most fluently of them all.,ボブは3人のうちで一番ゆっくり歩きました。
80,最上級―副詞,Who sleeps (the) longest in your family? – My (older) brother does.,あなたの家族では誰が一番長く眠りますか？―兄です。
81,最上級―副詞,Taro listened to the teacher (the) most carefully of those children.,あの子供たちの中でタロウが一番注意深く先生の言うことを聴きました。
82,比較級、最上級を使った疑問詞の文,"Which is smaller, his room or hers (her room)? 部屋の広い・狭いを表す場合は large/big, small を使いましょう。 日本語を直訳してnarrowにしないように注意！",彼の部屋と彼女のでは、どちらが狭いですか？
83,比較級、最上級を使った疑問詞の文,Who is the smartest in your class?,あなたのクラスでは誰が一番賢いですか？
84,比較級、最上級を使った疑問詞の文,Which subject do you like (the) best? – I like math (the best).,あなたはどの科目が一番好きですか？―数学です。
85,現在完了―継続,I have lived in this city for ten years.,私はこの都市に10年住んでいます。
86,現在完了―継続,I haven’t seen him since Sunday.,私は日曜日からずっと彼に会っていない。
87,現在完了―継続,We have been on this train for four hours.,私たちはこの列車に4時間乗っています。
88,現在完了―完了,I have just had (eaten) breakfast.,僕はちょうど朝食を食べたところです。
89,現在完了―完了,We haven’t received (got) a letter from her yet.,私たちはまだ彼女からの手紙を受け取っていません。
90,現在完了―完了,Who has opened this window? – I have.,誰がこの窓を開けてしまったのですか？―僕です。
91,現在完了―経験,I have met him twice.,私は彼に二回会ったことがあります。
92,現在完了―経験,My father has never been abroad (to a foreign country).,私の父は一度も外国に行ったことがありません。
93,現在完了―経験,Naomi has never leaned Japanese before.,ナオミは以前に日本語を習ったことがありません。
94,現在完了進行形,I have been reading this book for five hours.,私は5時間この本を読んでいます。
