id,grammar,english,japanese
1,中級編,He went to Toronto to study English when he was young.,彼は若い時に、英語を学ぶためにトロントに行きました。
2,中級編,I think (that) he has lived in this country for more than (over) three years.,私は、彼はこの国に3年以上住んでいると思います。
3,中級編,"Children have already done their homework, haven’t them?",もう子供たちは宿題したよね？
4,中級編,Do you think that this desk is made of iron?,あなたはこの机は鉄でできていると思いますか？
5,中級編,I want to see the tallest student in this class!,私はこのクラスで一番背の高い生徒と会いたい！
6,中級編,Who came to this room to see me? – Your student did.,誰が私に会いにこの部屋まで来たんですか？－あなたの生徒です。
7,中級編,"When I saw him the other day, he said (that) he was going to learn English.",先日彼に会ったとき、彼は英語を習うつもりだと言った。
8,中級編,I believe that this movie will be watched by many people.,私はこの映画は多くの人に見られることと信じている。
9,中級編,"When I went to the park yesterday morning, there weren’t any children.",私が昨日の朝その公園に行ったとき、子供が一人もいなかった。
10,中級編,"When other children were playing outside, I had to practice the piano at home.",他の子どもたちが外で遊んでいるとき、私は家でピアノの練習をしなければならなかった。
11,中級編,He said that he didn’t have any time to talk to (with) me. / He said that he had no time to talk to (with) me.,彼は、僕と話す時間はないと言った。
12,中級編,I think (that) studying history is important.,歴史を勉強することは大切だと思う。
13,中級編,Who must (has to) clean the bathroom? – I must (have to) (do). ※tips: カナダではトイレを washroom ということが多いです。,誰がトイレを掃除しなければならないのですか？－僕です。
14,中級編,This fruit smells better than that one.,この果物はあの果物よりいい香りがする。
15,中級編,"The teacher looks angry, doesn’t he (she)?",先生は怒ってるみたいだね？
16,中級編,Which novel do you want to read? – I want to read this one.,君はどっちの小説を読みたいの？－この本が読みたい。
17,中級編,I met her once when I lived in Canada.,カナダに住んでいた時、僕は一度彼女に会ったことがある。
18,中級編,How many cups of tea have you drunk (had) since you got up? – I think (that) I have drunk (had) three or four cups (of tea).,君は起きてから何杯紅茶を飲んだ？
19,中級編,I didn’t know that her hobby was playing the violin.,僕は彼女の趣味がヴァイオリンだと知らなかった。
20,中級編,My mother looks younger than five years ago.,母は5年前より若く見える。
21,中級編,How many countries have you ever traveled?,あなたは今まで何か国旅行しましたか？
22,中級編,I think that the cake has been eaten by the dog.,そのケーキは犬に食べられたんだと思う。
23,中級編,Will you please lend me something to wipe with? – Sure.,僕に何か拭くものを貸してくれるかい？―どうぞ。
24,中級編,"When I visited his house last night, he was watching TV with his friend(s).",僕が昨日の夜彼の家を訪れたとき、彼は友達とテレビを見ていた。
25,中級編,He studied harder than any other student for the examination.,彼はそのテストのために他のどの生徒よりも一生懸命勉強した。
26,中級編,I didn’t know (that) he liked fish better than meat. ※fishは数えられる名詞ですが、単数・複数ともに同じ形 fish となります。,僕は彼が肉より魚の方が好きだとは知らなかった。
27,中級編,"You have never been to Niagara Falls, have you? – No, I haven’t.",あなたはナイアガラの滝に一度も行ったことがないのですね？―はい、行ったことないです。
28,中級編,It began to rain suddenly when I went out.,私が外に出たとき、雨が突然降り始めました。
29,中級編,"This dish smells good, doesn’t it?",この料理はいい香りがしますね？
30,中級編,How do you live to keep your health?,健康であり続けるためどのように生活していますか？
31,中級編,How careless you are to leave your car key behind!,車の鍵を置き忘れるなんて、君は何て不注意なんだ！
32,中級編,Falling in love is much simpler than staying (keeping) in love.,恋に落ちることは、恋をし続ける事よりずっと単純だ。
33,中級編,The soup tasted much better than it looked.,そのスープは見た目よりずっとおいしかった。
34,中級編,What is the most important to master English?,英語をマスターするためには何が一番重要ですか？
35,中級編,I can’t believe that many people like playing video games better than reading books.,多くの人が本を読むより、ゲームをする方が好きなことが信じられない。
36,中級編,She doesn’t know that her husband has already decided to buy the car.,夫がその車を買うと既に決めてしまったことを、彼女は知らない。
37,中級編,"When he told his girlfriend the news, she began to cry suddenly.",彼がガールフレンドにその知らせを伝えたとき、彼女は突然泣き始めた。
38,中級編,How many books have you read since you began to go to this school?,君はこの学校に通い始めてから何冊本を読んだの？
39,中級編,"When she passed the exam, she was more surprised than anyone else.",彼女がその試験に受かった時、他の誰よりも彼女自身が驚いた。
40,中級編,The student kept walking without greeting anyone.,その学生は挨拶もしないで歩き続けた。
41,中級編,The woman has been eating only bananas for more than a week to lose weight.,その女性は体重を減らすために1週間以上もバナナだけを食べている。
42,中級編,I think the English teacher has been in Japan for more than five years.,英語の先生は5年以上日本にいると思うよ。
43,中級編,Which is the best of these books to study economy?,経済学を勉強するには、これらの本の中でどれが一番いいですか？
44,中級編,You should realize that you can’t be good at playing sports without practicing.,練習せずにはスポーツは上手になれないことに気づいた方がいい。
45,中級編,Who are you going to be picked up?,誰に迎えに来てもらう予定なの？
